Match Number,Team Number,Scout Name,Game Year,Date,Calculated Points,Fuel Scored,Fuel Passed,Climbed,Fuel Scored,Fuel Passed,Climb Status,Notes
1,9584,Holden,2026,2026-03-07 11:06:38,103,11,0,No,92,0,None,"Decent, got stuck on ball at beginning"
1,971,Yahya,2026,2026-03-07 11:06:15,5,5,0,No,0,20,None,"Played defense the whole time and passed to 9508 which did all the scoring 
"
1,2473,Oliver To,2026,2026-03-07 11:06:01,7,0,0,No,7,26,None,Moves very slow
1,1458,Param,2026,2026-03-07 11:06:14,2,0,0,No,2,40,None,
2,6305,Param,2026,2026-03-07 11:17:45,10,0,0,No,10,38,None,
2,7607,Holden,2026,2026-03-07 11:16:32,0,0,0,No,0,0,None,"Literally didn’t have a robot lol"
2,10252,Nikko Petuya,2026,2026-03-07 11:18:22,0,0,0,No,0,0,None,
2,1678,Oliver To,2026,2026-03-07 11:17:43,431,76,0,No,355,94,None,
2,5924,Yahya,2026,2026-03-07 11:18:47,0,0,0,No,0,0,None,"Didn’t move during auto and during telep they also did nothing . Tried to play defense halfway through the match. "
3,3598,Yahya,2026,2026-03-07 11:29:22,23,0,0,No,23,0,None,"Didn’t move during auto "
3,1857,Oliver To,2026,2026-03-07 11:29:24,54,2,0,No,52,46,None,
3,7419,Holden,2026,2026-03-07 11:29:33,0,0,0,No,0,0,None,"Stuttered around with like 8 balls and never did anything else"
3,4990,Byron Orozco,2026,2026-03-07 11:28:57,0,0,0,No,0,0,None,
3,9470,Param,2026,2026-03-07 11:29:38,334,75,0,No,259,51,None,
4,1452,Param,2026,2026-03-07 11:39:34,7,0,0,No,7,0,None,
4,604,Holden,2026,2026-03-07 11:40:01,127,29,0,No,98,0,None,"Stalled out for half the match but very good when working"
4,5760,Oliver To,2026,2026-03-07 11:39:28,0,0,0,No,0,4,None,
4,670,Yahya,2026,2026-03-07 11:40:06,0,0,0,No,0,0,None,"Didn’t move during auto and disconnected during the match. Tried to play play defense halfway through. "
4,8793,Nikko Petuya,2026,2026-03-07 11:39:31,39,1,0,No,38,41,None,
4,3045,Ocean,2026,2026-03-07 11:39:29,39,0,0,No,39,0,None,
5,3257,Nikko Petuya,2026,2026-03-07 11:57:48,0,0,0,No,0,46,None,
5,3257,Nikko Petuya,2026,2026-03-07 11:58:03,0,0,0,No,0,46,None,
5,4171,Holden,2026,2026-03-07 11:58:05,0,0,0,No,0,0,None,Moved around like they wanted to shoot but never did
5,852,Param,2026,2026-03-07 11:57:46,17,0,0,No,17,19,None,
5,7607,Yahya,2026,2026-03-07 11:58:03,3,0,0,No,3,0,None,"Didn’t move during auto mostly inactive during teleop"
5,3257,Nikko Petuya,2026,2026-03-07 11:57:38,0,0,0,No,0,46,None,
5,1458,Oliver To,2026,2026-03-07 11:57:44,0,0,0,No,0,26,None,
6,4990,Param,2026,2026-03-07 12:09:08,0,0,0,No,0,42,None,
6,9584,Yahya,2026,2026-03-07 12:09:34,54,0,0,No,54,0,None,"Good shooter for this team. 
"
6,971,Oliver To,2026,2026-03-07 12:09:14,189,26,0,No,163,42,None,
6,9470,Nikko Petuya,2026,2026-03-07 12:09:09,234,28,0,No,206,70,None,
6,971,Yahya,2026,2026-03-07 12:14:33,175,12,0,No,163,0,None,"Great shooter 
"
